id,ONG,proyecto,fecha
432,Keeling Group,Celgene Corporation,2018-04-21
433,Wehner-Jenkins,"JA Solar Holdings, Co., Ltd.",2019-01-18
434,Wolf And Sons,"support.com, Inc.",2002-08-22
435,"Wehner, Schneider And Frami",Eagle Bulk Shipping Inc.,2008-10-12
436,"Glover, Dickens And Russel",Peapack-Gladstone Financial Corporation,2007-10-06
437,Strosin ,Forum Merger Corporation,1973-04-11
438,Sanford Inc,Nuveen Municipal High Income Opportunity Fund,2008-09-08
439,Gutkowski-Schinner,KT Corporation,1987-12-08
440,Mueller-Simonis,"PrivateBancorp, Inc.",1983-06-19
441,Bartoletti-Daniel,Spence,2013-07-09
442,"Okuneva, Vonrueden And Quigley",Julia,1986-06-29
443,"Mohr, Monahan And Hermiston",Cerro Iman,1971-04-08
444,O'Keefe-Zulauf,Inseego Corp.,1992-02-08
445,Price Inc,iPath US Treasury Long Bond Bear ETN,2014-01-26
446,Kozey Inc,Franke,2018-10-09
447,Rowe-Wisoky,Los Bronces,2019-06-02
448,Boehm ,L.B. Foster Company,2004-11-11
449,Ziemann-Trantow,"Gabelli Equity Trust, Inc. (The)",2012-06-23
450,Schiller-Reilly,Old Republic International Corporation,2010-01-28
451,Pacocha-Heller,Johnson & Johnson,2002-09-15
452,"Kilback, Frami And Abbott",Coiron,2002-09-17
453,Hagenes-Gutmann,Great Plains Energy Inc,2002-10-22
454,Hamill-Rath,Kraton Corporation,2006-10-05
455,Ebert-Pollich,Pirquitas,2016-12-31
456,Raynor ,Enel Generacion Chile S.A.,1973-07-22
457,"Steuber, Rutherford And Upton",Punitaqui,1995-05-24
458,"Gutkowski, Kuhlman And Purdy","Silicon Laboratories, Inc.",2019-04-07
459,"Bergstrom, Barrows And Shields",Los Bronces,2018-07-07
460,Pollich-Treutel,"Discovery Communications, Inc.",1994-08-31
461,Collier-Anderson,Romeral,1975-11-11
462,"Upton, Kshlerin And Borer",Regal Entertainment Group,2018-02-27
463,"Walker, Paucek And Beer","Ellie Mae, Inc.",2007-10-02
464,Gorczany-Nienow,El Teniente,2016-05-30
465,Gusikowski-Bechtelar,EPR Properties,1990-12-06
466,Barrows-Sauer,ACF - Lagunas,1959-05-14
467,"Gutkowski, Kuhlman And Purdy",Jeronimo,1982-02-23
468,"Reilly, Deckow And Frami",Comcast Corporation,2001-09-30
469,O'Conner And Sons,"Waste Management, Inc.",2016-05-29
470,Africa Viva,"Cleveland BioLabs, Inc.",1987-06-27
471,Feil-Nikolaus,Special Opportunities Fund Inc.,2005-04-18
472,Boehm-Conroy,Caserones,1997-03-13
473,Hermann ,Sierra Miranda,1994-10-10
474,Denesik And Sons,Cerro Casale,1997-08-10
475,Botsford-Romaguera,"Franklin Financial Network, Inc.",2006-07-05
476,Price-Shields,Cerro Iman,2019-06-05
477,Aufderhar-Mitchell,SQM Salar,2009-06-25
478,Green-Cruickshank,Vanguard Russell 3000 ETF,2016-07-28
479,Wehner-Jenkins,Lions Gate Entertainment Corporation,1997-03-29
480,Satterfield And Sons,Chuquicamata,2003-05-08
481,Bartoletti-Dickinson,Janus Henderson Small Cap Growth Alpha ETF,1987-07-07
482,"Erdman, Braun And Runolfsson","Edge Therapeutics, Inc.",2001-05-14
483,"Blick, Herman And Grady",Punitaqui,1988-10-03
484,Hintz-Reilly,"Ellie Mae, Inc.",2014-11-30
485,Oberbrunner ,Del Fierro,2019-08-02
486,Buckridge Group,Punitaqui,1998-08-09
487,Rath-Quitzon,"Waste Management, Inc.",2007-09-21
488,Botsford-Romaguera,Moog Inc.,1976-05-28
489,Runolfsson-Morar,PowerShares BuyBack Achievers Portfolio,1997-11-14
490,Terry Inc,Lions Gate Entertainment Corporation,1999-07-15
491,"Sporer, Graham And Medhurst","Apple Hospitality REIT, Inc.",1958-12-25
492,"Champlin, Oberbrunner And Eichmann","Fiserv, Inc.",1981-07-02
493,Runolfsdottir And Sons,"Sierra Oncology, Inc.",2004-12-29
494,Cassin And Sons,"Everspin Technologies, Inc.",2013-04-16
495,Becker And Sons,Drive Shack Inc.,1958-06-16
496,Predovic Inc,Virco Manufacturing Corporation,1999-06-01
497,Gottlieb ,Check-Cap Ltd.,1994-09-09
498,Casper-Jacobson,GlaxoSmithKline PLC,1991-03-11
499,Volkman-Conn,The9 Limited,1969-09-12
500,"O'Kon, Huels And Lubowitz","Edge Therapeutics, Inc.",1971-01-13
501,"Mckenzie, Lynch And Reinger",Peapack-Gladstone Financial Corporation,2001-07-04
502,"Schaden, Cronin And Bernier",Envision Healthcare Corporation,2019-08-13
503,Hermiston And Sons,Los Bronces,2018-02-27
504,Conn-Jones,BlackRock Municipal Target Term Trust Inc. (The),1999-01-28
505,"Jacobi, Spencer And Mayer",Manto Verde,2016-09-18
506,"Boyle, Weissnat And Blanda","Chunghwa Telecom Co., Ltd.",1990-06-24
507,Senger-Bogisich,E.I. du Pont de Nemours and Company,2009-01-22
508,Stokes Inc,El Tesoro,2006-02-01
509,Weissnat-Bergstrom,Diageo plc,2018-08-28
510,Koepp ,"Zynerba Pharmaceuticals, Inc.",2019-04-16
511,"Rippin, Huel And Mccullough",SQM Salar,2015-04-18
512,Leannon-Brekke,Brookfield Global Listed Infrastructure Income Fund,2015-11-16
513,Harber-Blanda,Check-Cap Ltd.,1961-07-13
514,"Mckenzie, Paucek And Jaskolski",Algorta,2008-11-06
515,Raynor-Oberbrunner,Entegra Financial Corp.,1977-10-05
516,"Hickle, Beatty And Gleichner","PDF Solutions, Inc.",1981-09-12
517,"Mante, Bins And Crooks",La Picarda,2015-11-16
518,Rogahn-Leannon,CMP - Los Colorados,2016-07-19
519,Olson-Green,"Financial Engines, Inc.",2016-05-12
520,Simonis Group,Regal Entertainment Group,2009-02-15
521,"Blick, Herman And Grady",Pucobre,1972-12-06
522,Wehner And Sons,Lions Gate Entertainment Corporation,2004-08-22
523,Schimmel-Mcglynn,Pirquitas,2006-10-29
524,Gutkowski-Nikolaus,Royal Caribbean Cruises Ltd.,2018-11-17
525,Lakin-Osinski,JM Global Holding Company,1986-12-06
526,O'Conner And Sons,"International Seaways, Inc.",2012-09-11
527,Stracke And Sons,Stamps.com Inc.,1984-01-11
528,Renner-Erdman,PrimeEnergy Corporation,1996-11-14
529,"Collins, Pacocha And Turcotte","Biocept, Inc.",1999-09-26
530,Lebsack-Senger,Lenga,1990-10-12
531,Mraz-Ratke,Independence Holding Company,2006-05-01
532,Effertz-Zboncak,Navio,1996-03-04
533,"Kshlerin, Hahn And Gulgowski",China Cord Blood Corporation,1995-02-14
534,Cassin-Mayer,"Investors Bancorp, Inc.",2013-05-13
535,Watsica Group,Maganeso III de Atacama,1954-07-08
536,"Kiehn, Lueilwitz And Schimmel",Mantos Blancos,2019-08-14
537,Johnston-Spinka,"Texas Capital Bancshares, Inc.",1964-10-06
538,Mraz-Ratke,Cordillera - Tenardita,1986-06-13
539,"Williamson, Hermiston And Bauch",3M Company,2004-04-03
540,"Champlin, O'Reilly And O'Keefe",EQT Corporation,1992-01-30
541,Walter Group,Stamps.com Inc.,2012-03-03
542,"Keeling, Kilback And Mcdermott",Corporate Asset Backed Corp CABCO,2011-05-29
543,Afalcontigo,Faride,2017-10-12
544,Lakin-Bruen,KT Corporation,1981-08-10
545,"Schmidt, Ryan And Jacobson",Double Eagle Acquisition Corp.,2014-06-14
546,Stracke-Mayer,Tata Motors Ltd,2017-01-09
547,"Schaden, Homenick And Gutkowski",Cosayach - Soledad,2015-12-15
548,"Collins, Murray And O'Reilly",Caupolican,1975-05-19
549,Kulas-Crist,Novelion Therapeutics Inc.,2019-02-28
550,"Hessel, Predovic And Green",Andina,1990-06-25
551,O'Reilly Group,Inacesa - El Way,1997-10-09
552,Towne ,Isla Riesco,2004-02-12
553,"Dubuque, Gaylord And Cole",Clifton Bancorp Inc.,1952-10-18
554,Reinger And Sons,"JA Solar Holdings, Co., Ltd.",2018-07-05
555,Denesik-Quigley,Array BioPharma Inc.,2012-09-12
556,Lesch-Homenick,First Trust Emerging Markets Small Cap AlphaDEX Fund,2017-05-03
557,Cruickshank-Schmitt,"PDF Solutions, Inc.",2010-12-02
558,Price Inc,"Cleveland BioLabs, Inc.",2011-12-22
559,O'Conner And Sons,"National American University Holdings, Inc.",1995-01-12
560,Shields Group,"Littelfuse, Inc.",1974-06-05
561,Hettinger-Lynch,Dynatronics Corporation,1968-09-17
562,Kuhn-Herzog,Dorado,1978-04-28
563,Franecki-Beahan,"Pepsico, Inc.",2016-11-04
564,Adama,La Coipa,1994-02-20
565,Oberbrunner ,SQM - Mapocho,1994-01-04
566,Schimmel-Mcglynn,"LTC Properties, Inc.",2019-08-18
567,"Simonis, Roberts And Frami",Aircastle Limited,2016-08-27
568,Langworth ,Array BioPharma Inc.,2018-10-14
569,Graham ,Spence,1995-05-23
570,Walsh-Doyle,"Enanta Pharmaceuticals, Inc.",1985-12-01
571,"Torphy, Adams And Walter",Ceragon Networks Ltd.,2001-11-03
572,"Morissette, Christiansen And Collins",Janus Henderson Small Cap Growth Alpha ETF,1994-11-16
573,Lesch-Homenick,La Coipa,2008-06-03
574,Bechtelar-Wuckert,Spence,2009-03-11
575,"Keeling, Bruen And Greenholt",Eagle Bulk Shipping Inc.,1997-05-20
576,Romaguera-Gerhold,Cerro Bayo,2019-06-13
577,Jones-Kemmer,Virco Manufacturing Corporation,2003-07-14
578,Cremin And Sons,SQM Salar,2013-01-12
579,"Dooley, Jerde And Kshlerin",Chimborazo,2009-02-23
580,Bayer-Bashirian,"Commercial Vehicle Group, Inc.",2000-12-06
581,Waters Group,Incyte Corporation,2004-07-06
582,Abshire Inc,Colico Sur,1989-10-23
583,"Kuhlman, Bashirian And Abbott",SQM - Mapocho,2014-03-20
584,Braun-Eichmann,"Gabelli Equity Trust, Inc. (The)",1973-05-19
585,Simonis Group,Las Arenitas,1991-10-15
586,"Jacobs, Braun And Schimmel",Tres Valles,1998-11-20
587,"Simonis, Roberts And Frami",Condor,1990-08-30
588,"Altenwerth, Abernathy And Kuvalis","Portola Pharmaceuticals, Inc.",1977-01-29
589,Rosenbaum-Cole,"International Seaways, Inc.",2016-10-02
590,"Homenick, Sipes And Carter",Georgia Power Company,1997-05-24
591,Johnston-Rath,Pupunahue,1981-05-22
592,"Gorczany, Lindgren And Smitham",Dynatronics Corporation,1976-12-31
593,Runolfsson-Morar,Salesforce.com Inc,1982-03-01
594,"Gusikowski, Luettgen And Cremin","Ellie Mae, Inc.",2004-07-05
595,Bradtke Inc,SAP SE,2009-03-14
596,Pollich-Treutel,Tranquilo,2019-06-06
597,Gleason And Sons,Las Piedras,2018-02-09
598,Breitenberg-Murphy,"German American Bancorp, Inc.",1996-02-08
599,"Rippin, Huel And Mccullough",Cerro Casale,2017-03-11
600,Glover Group,SQM - Mapocho,1981-06-22
601,Terry Group,"Urban One, Inc. ",2004-05-02
602,"Kihn, Orn And Farrell",Pupunahue,1992-12-07
603,Hand And Sons,Caupolican,1967-04-22
604,"Goodwin, Cremin And Raynor",Faride,2007-12-27
605,Bechtelar-Wuckert,Dynatronics Corporation,1982-03-05
606,Glover-Nader,"Western New England Bancorp, Inc.",2012-11-13
607,"Herzog, Grimes And Jast",III de Atacama Kozan,1999-09-22
608,Jaskolski Inc,Schwager,2018-05-02
609,Pacocha-Heller,"Dupont Fabros Technology, Inc.",2012-12-26
610,"Goodwin, Cremin And Raynor","ILG, Inc",2018-08-13
611,Schuppe Group,American Homes 4 Rent,1999-09-09
612,Herman-Graham,"Chunghwa Telecom Co., Ltd.",1974-12-21
613,"Lesch, Rath And Pfannerstill",Sierra Gorda,2016-11-17
614,"Rosenbaum, Lind And Koss",Candelaria,1962-02-18
615,Shields Group,"Adams Diversified Equity Fund, Inc.",1997-02-04
616,"Dare, O'Conner And Mohr","Franklin Financial Network, Inc.",2009-03-21
617,King ,PureFunds ETFx HealthTech ETF,2017-11-25
618,Wisoky ,"Western New England Bancorp, Inc.",2017-10-08
619,Afesip,Enel Generacion Chile S.A.,2014-03-03
620,Adela Eh,Refugio,1990-01-10
621,Doyle-Powlowski,El Toqui,1983-07-09
622,Huels ,"Hub Group, Inc.",2017-06-02
623,Mueller-Simonis,Bright Scholar Education Holdings Limited,2004-08-01
624,Johnston And Sons,Romeral,1991-02-28
625,"Cassin, Rempel And Koelpin",Schwager,2006-10-08
626,"Weber, Rippin And Krajcik",Yelp Inc.,1991-04-07
627,Moore-Reilly,El Peñon,2018-08-19
628,Auer-Ryan,Candelaria,1987-11-16
629,Koss Group,"UMH Properties, Inc.",2007-08-03
630,Mcdermott ,Janus Henderson Small Cap Growth Alpha ETF,2006-12-01
631,"Lindgren, Padberg And Hand","Midland States Bancorp, Inc.",2000-11-25
632,Schiller-Reilly,Isla Riesco,2004-11-13
633,Stoltenberg ,"Xenia Hotels & Resorts, Inc.",2011-01-09
634,Wisozk-Connelly,U.S. Energy Corp.,2016-03-12
635,Maggio-O'Keefe,R.R. Donnelley & Sons Company,1989-01-07
636,"Baumbach, Reinger And Jaskolski","Commercial Vehicle Group, Inc.",2002-07-31
637,"Torp, Schmitt And Kemmer",Isla Guarello,2008-01-24
638,Fadel Group,AmerisourceBergen Corporation (Holding Co),2014-05-26
639,"Botsford, Breitenberg And Steuber",PIMCO Dynamic Credit and Mortgage Income Fund,1980-04-23
640,Davis Inc,Intracampos,2007-02-14
641,Zulauf Group,"Ocular Therapeutix, Inc.",1992-03-31
642,Hartmann And Sons,La Patagua,2018-09-27
643,"Kling, Donnelly And Blanda","NextEra Energy, Inc.",1986-12-07
644,Lueilwitz Inc,"Fiserv, Inc.",1999-01-09
645,Pagac And Sons,SQM - Pampa Blanca,2016-07-28
646,Raynor ,"Nutanix, Inc.",2000-03-09
647,"Gutmann, Schamberger And Witting",Dollar General Corporation,2015-05-22
648,Davis Inc,Carola,2004-07-18
649,Cruickshank Inc,CVS Health Corporation,1965-04-12
650,Funk And Sons,Quiborax,1977-05-29
651,"Upton, Kshlerin And Borer",Check-Cap Ltd.,2002-09-06
652,Bins-Goldner,"Sportsman's Warehouse Holdings, Inc.",2004-12-28
653,"Renner, Bogisich And O'Kon","Zynerba Pharmaceuticals, Inc.",1990-08-14
654,"Green, Towne And Baumbach",ACF - Lagunas,1972-04-10
655,Paucek Group,"Hawkins, Inc.",2015-02-05
656,Rohan And Sons,STMicroelectronics N.V.,2008-02-04
657,Afimu,Las Arenitas,1995-06-16
658,Hirthe Group,Blackstone GSO Long Short Credit Income Fund,1986-07-20
659,Gorczany-Nienow,Candelaria,2009-02-26
660,Flatley Group,El Soldado,2007-02-26
661,"Feil, Lehner And Krajcik",Can Can,2018-08-23
662,Fritsch And Sons,U.S. Energy Corp.,2018-04-29
663,Connelly-Maggio,"Biocept, Inc.",2002-05-28
664,"Gerlach, Fritsch And Rippin",Jazz Pharmaceuticals plc,2008-07-03
665,"Kuhlman, Bashirian And Abbott",EQT Corporation,2012-11-06
666,Simonis Group,Northern Trust Corporation,2015-10-31
667,"Murray, Monahan And Hilll",Tres Valles,2000-06-06
668,"Becker, Haag And Hammes",Victoria,2016-11-09
669,"Stark, Langworth And Kovacek",Azul S.A.,2003-12-01
670,"Kiehn, Lueilwitz And Schimmel","FairPoint Communications, Inc.",1993-11-22
671,"Okuneva, Vonrueden And Quigley",Royal Caribbean Cruises Ltd.,2018-11-23
672,"Macejkovic, Gusikowski And Keeling","Commerce Bancshares, Inc.",2017-04-10
673,"Funk, Turcotte And Jenkins",III de Atacama Kozan,1990-02-19
674,Quitzon Inc,BlackRock Municipal Target Term Trust Inc. (The),1960-03-30
675,Kuhic-Zboncak,"Zynerba Pharmaceuticals, Inc.",2011-09-13
676,Conn ,Arlington Asset Investment Corp,2006-06-07
677,"Okuneva, Vonrueden And Quigley",Las Arenitas,1977-03-03
678,Sanford And Sons,"MasTec, Inc.",1999-06-26
679,Feest-Graham,TICC Capital Corp.,2010-08-28
680,Jenkins And Sons,Merus Labs International Inc.,1979-03-15
681,Quitzon-Stark,Caserones,2006-05-10
682,Bednar-Crist,El Tesoro,1977-05-11
683,Koelpin Group,PIMCO Dynamic Credit and Mortgage Income Fund,1999-08-05
684,Jacobs Group,Data Processing,1979-04-03
685,Harber Inc,Pirquitas,2000-10-10
686,"Spinka, Senger And Brakus",NVIDIA Corporation,2018-05-14
687,"Torp, Bruen And Douglas",Pure Cycle Corporation,2011-03-27
688,Zulauf Group,Torchmark Corporation,1990-10-09
689,Hoppe-Wolf,Las Cenizas,1990-06-24
690,Pacocha-Heller,Intracampos,1987-06-15
691,"Crooks, Mraz And Volkman",Northern Trust Corporation,1992-08-10
692,Herman-Graham,Randgold Resources Limited,1987-05-09
693,Buckridge Group,"First Hawaiian, Inc.",2013-02-15
694,Gutkowski-Nikolaus,"First Hawaiian, Inc.",1990-09-18
695,Langworth ,Intracampos,1981-03-19
696,Gleason ,La Patagua,1992-07-20
697,Hermiston Group,"MasTec, Inc.",1989-06-17
698,Gleason And Sons,Cambrex Corporation,1989-12-03
699,Wisozk-Goyette,Pullalli,2019-05-27
700,"Zemlak, Thompson And Schuppe",Catamutun,2019-02-25
701,"Feil, Lehner And Krajcik",Yelp Inc.,2013-12-05
702,Moore-O'Conner,PIMCO Dynamic Credit and Mortgage Income Fund,1995-09-12
703,"Orn, Conn And Jakubowski",B.O.S. Better Online Solutions,1984-01-17
704,Hickle ,Unisys Corporation,2006-06-13
705,Nienow ,Old Republic International Corporation,2014-07-24
706,Walter Group,Orbotech Ltd.,1992-05-26
707,Shields-Kuhlman,Nuveen Floating Rate Income Fund,2003-08-31
708,"Walsh, Hettinger And Grimes",Peapack-Gladstone Financial Corporation,1975-03-06
709,Cole-Olson,Trongol,2017-10-26
710,Friesen-Pfeffer,Caleta El Cobre,2003-02-27
711,Lueilwitz ,Laguna Siren,2016-11-25
712,Jacobson Group,Cosayach - Soledad,2018-03-30
713,Okuneva ,Novelion Therapeutics Inc.,2017-06-19
714,Feest ,"Portola Pharmaceuticals, Inc.",2011-08-28
715,Lynch ,Isla Guarello,1982-06-03
716,"Spinka, Schuster And Kerluke",Can Can,2018-04-24
717,Barrows Group,Tranquilo,2019-06-22
718,"Kutch, Cremin And Mcclure",Mantos de la Luna,2016-12-13
719,Boehm ,"Taiwan Fund, Inc. (The)",2017-03-17
720,Thiel And Sons,Esterline Technologies Corporation,2010-06-10
721,Block Group,La Productora,2019-06-18
722,Zieme ,Punta de Lobos - Kanita,1998-08-26
723,"Nader, Dietrich And Frami",Condor,2016-06-06
724,Kunze-Welch,La Patagua,2008-02-26
725,Zieme-Metz,SL Green Realty Corporation,2006-12-13
726,Adavas,Dollar General Corporation,2015-09-26
727,"Mckenzie, Lynch And Reinger",Pascua,2015-01-21
728,"Hane, Wyman And Rempel",Spence,2008-09-23
729,"Wisozk, Smitham And Wisoky",Celgene Corporation,2016-11-27
730,Ullrich Inc,Novanta Inc.,1993-12-22
731,Tromp ,"AMC Entertainment Holdings, Inc.",2011-09-27
732,"Mertz, Greenholt And Lind",Fidus Investment Corporation,1999-10-07
733,Gulgowski-Spinka,"Financial Engines, Inc.",1981-05-28
734,Swaniawski Group,El Guindo,1978-02-10
735,Wisozk-Bernier,"Gabelli Equity Trust, Inc. (The)",2014-12-22
736,Jaskolski-Ebert,iShares MSCI EM ESG Optimized ETF,2009-11-13
737,"Becker, Deckow And O'Keefe",CMP - Algarrobo,2018-09-29
738,Sanford Inc,Neff Corporation,2006-08-13
739,"Strosin, Frami And Kuhic",Marine Petroleum Trust,2019-07-24
740,Russel Group,Trongol,2014-03-16
741,"Hickle, Beatty And Gleichner",Choquelimpie,2003-03-14
742,Klein-Bartoletti,Global Partner Acquisition Corp.,2017-08-10
743,Cronin ,Tres Valles,2013-12-19
744,"Kutch, Cremin And Mcclure",Anheuser-Busch Inbev SA,2011-07-23
745,Frami Group,RenaissanceRe Holdings Ltd.,1995-12-21
746,"Doyle, Mccullough And Friesen","Meridian Waste Solutions, Inc",1981-05-05
747,Grant-Schaden,Quiborax - Ascotan,2018-06-23
748,"Schowalter, Johnson And Kerluke",Celite - Tilviche,1985-06-17
749,"Schowalter, Johnson And Kerluke",Refugio,2009-03-28
750,Gutkowski ,DRDGOLD Limited,2019-08-14
751,"Hane, Wyman And Rempel",SCL Chemetall,1971-10-23
752,Zieme Group,Natl Westminster Pfd,2007-12-13
753,"Cummerata, Gutmann And Gaylord",United States Cellular Corporation,2004-05-10
754,Jones-Kemmer,"ILG, Inc",2008-09-16
755,Sanford Inc,Cosayach - Soledad,2012-08-19
756,Fadel Group,La Productora,2019-07-17
757,D'Amore And Sons,Applied DNA Sciences Inc,2006-12-13
758,Okuneva Inc,"NextEra Energy, Inc.",2017-02-05
759,Osinski-Zemlak,"Blackhawk Network Holdings, Inc.",1994-01-23
760,Prohaska-Brakus,Microsemi Corporation,2008-01-10
761,Predovic Inc,Moog Inc.,1987-10-23
762,Fritsch And Sons,Cerro Bayo,2018-07-07
763,"Kassulke, Morar And Crooks",Can Can,2017-10-24
764,Nader-Kutch,Applied DNA Sciences Inc,1992-07-01
765,Murray-Braun,Entegra Financial Corp.,2002-04-01
766,Ritchie Group,EQT Corporation,2016-04-21
767,"Cremin, Klocko And Thiel",Romeral,1989-09-21
768,"Little, Heller And Lubowitz","Cogentix Medical, Inc.",1980-11-25
769,Moore-Lueilwitz,"Zynerba Pharmaceuticals, Inc.",1995-03-09
770,"Steuber, Rutherford And Upton",Pinatolca,2007-02-12
771,Frami Group,"RiverNorth Opportunities Fund, Inc.",2018-11-14
772,"Littel, Lynch And Lowe",Los Pelambres,1985-10-08
773,Hettinger-Lynch,PureFunds ETFx HealthTech ETF,2017-03-09
774,"Kutch, Rodriguez And Hettinger",Check-Cap Ltd.,1988-10-04
775,Dubuque And Sons,"Sierra Oncology, Inc.",1997-05-27
776,Kirlin ,Candelaria,1973-03-29
777,Russel ,"PrivateBancorp, Inc.",2002-05-30
778,Hickle Group,"Mid-America Apartment Communities, Inc.",2016-04-12
779,Johnston-Spinka,Esterline Technologies Corporation,2013-04-09
780,Barrows-Dibbert,Zion Oil & Gas Inc,1978-07-09
781,Hauck ,Julia,1978-03-11
782,Gerlach-Leuschke,Faride,2003-03-20
783,Luettgen Group,"support.com, Inc.",2018-01-27
784,Block Group,First Trust International Multi-Asset Diversified Income Index,2011-05-30
785,"Jacobs, Braun And Schimmel",Cordillera - Tenardita,2002-08-17
786,Davis Inc,Mantos de la Luna,2009-10-04
787,Senger Group,Microsemi Corporation,2005-04-10
788,Feest-Graham,"Gabelli Equity Trust, Inc. (The)",1964-05-06
789,Hermiston And Sons,"Kura Oncology, Inc.",1967-01-18
790,Murphy-Kunde,"Chunghwa Telecom Co., Ltd.",2006-05-19
791,Davis Inc,Kilroy Realty Corporation,2015-06-15
792,Hintz-Reilly,Cerro Colorado,1985-12-11
793,Jerde-Lowe,"Arista Networks, Inc.",2013-02-15
794,Hettinger-Kuhic,"MiMedx Group, Inc",1968-01-28
795,Watsica Inc,BRF S.A.,2018-01-17
796,Corkery-Halvorson,Mantos de la Luna,2008-04-05
797,"Lindgren, Barrows And Goodwin",BLDRS Developed Markets 100 ADR Index Fund,2004-10-21
798,Zieme Group,"Forterra, Inc.",2018-02-01
799,Leffler Group,GlaxoSmithKline PLC,1968-08-20
800,Bradtke-Wilkinson,Cerro Iman,2000-02-24
801,Lubowitz Group,Punitaqui,1983-08-07
802,Afalcontigo,Suncor EnergyInc.,1991-11-09
803,"Kling, Donnelly And Blanda",Silvercrest Asset Management Group Inc.,1955-01-09
804,Rowe-Fisher,Gilat Satellite Networks Ltd.,1994-06-24
805,Brown ,"India Fund, Inc. (The)",2007-04-17
806,Wiegand Group,Fair Isaac Corporation,1983-08-06
807,"Stark, Langworth And Kovacek",Sierra Gorda,2014-05-21
808,"Okuneva, Vonrueden And Quigley","HD Supply Holdings, Inc.",2007-09-12
809,"Reynolds, Dare And Barrows",Tata Motors Ltd,1998-07-31
810,Eichmann-Streich,Las Piedras,1987-06-26
811,Jaskolski Inc,"Under Armour, Inc.",2014-05-10
812,Nolan Inc,Garrison Capital Inc.,2011-08-12
813,"Kub, Mante And Lebsack",Caleta El Cobre,2003-02-19
